Cuenta_Twitter,Usuario,Texto,Creado en,Retweets,Likes
MAndreaNieto,MARIA ANDREA NIETO,"Hace un año los terroristas de Hamás asesinaron a una comunidad entera mientras dormía. Quemaron bebés vivos en los hornos de sus casas y obligaron a sus padres a verlo. Violaron a niñas y mujeres delante de sus familiares, les pegaron un tiro de gracia a mamás y papás delante de https://t.co/5evkHl3t7C",Mon Oct 07 23:44:04 +0000 2024,783,1311
KaguyaSama_Fan,𝘒𝘢𝘨𝘶𝘺𝘢 𝘚𝘢𝘮𝘢 𝘍𝘢𝘯 ~愛~ 💖,"NOMINACION AL TORNEO DE WAIFUS
no hace falta que lo explique pero lo hare de todos modos
4 waifus x persona, solo de Anime/Manga, Foto y nombre del personaje, si pueden decir la obra mejor. https://t.co/xdlLv4oxWP",Mon Oct 07 23:39:10 +0000 2024,22,188
Soy_leonidas,Leonidas,Al final el diablo aprendió de esta mujer. https://t.co/FA5FKVQbQJ,Mon Oct 07 23:07:33 +0000 2024,6771,70390
RadioGenoa,RadioGenoa,Europe 2024. https://t.co/XtkorENM48,Mon Oct 07 13:56:46 +0000 2024,5745,40240
1spiderdan,𝐃𝐀𝐍 🕷️,"La Historia Completa Sobre el Caso de Sean ""Diddy"" Combs

➡️ por qué lo arrestaron, las acusaciones y los famosos involucrados (+ video)

Abro Hilo 🧵 https://t.co/4yfgIxAjEZ",Sun Sep 29 18:14:37 +0000 2024,10569,150226
En_jupiter_,En Júpiter,Un grupo de pollos organiza peleas ilegales de perros. https://t.co/ETRBQEDxL8,Thu Oct 03 00:03:25 +0000 2024,17595,159299
c4jimenez,Carlos Jiménez,"ADMIRANDO a LA RATA PRENSADA
Así buscaban tomar fotos y ver al tipo prensado en su moto.
Él y uno más, encañonaron y asaltaron a una joven q iba en camioneta por la peligrosa @Alc_Iztapalapa 
Ella aceleró y los arrolló
A éste lo mató
El otro huyó
@SSC_CDMX y @FiscaliaCDMX indagan https://t.co/JR2zBu34M0",Wed Oct 02 21:34:33 +0000 2024,5301,70552
eduardomenoni,Eduardo Menoni,🚨| ÚLTIMA HORA: DURÍSIMO GOLPE AL ZURDAJE PROGRE. La película JOKER 2 PIERDE 70 MILLONES DE DÓLARES Y ES CLASIFICADA COMO 'LA PEOR PELÍCULA DE 2024'. La ideología feminista que introdujeron con Lady Gaga ARRUINÓ el film. ⚠️ ¿Estás de acuerdo en que la ideología progre es mierda? https://t.co/fjE0ooBRss,Mon Oct 07 13:52:12 +0000 2024,5193,37332
UHN_Plus,UHN PLUS,"🇯🇵🇺🇸 | ÚLTIMA HORA

Toyota ha anunciado que dejará de patrocinar desfiles y eventos LGBTQ, y ya no promoverá iniciativas de diversidad, equidad e inclusión (DEI). https://t.co/17E95OIw76",Sat Oct 05 02:49:26 +0000 2024,8533,69468
ElTrumpista,El Trumpista,"Lindo cambio, ¿no? https://t.co/F2c6yPpzHk",Mon Sep 30 22:05:44 +0000 2024,6982,82173
